Publication,CitationCount
Journal of Mammalogy,45
PLoS ONE,36
Journal of Zoology,26
The IUCN Red List of Threatened Species,20
Proceedings of the Royal Society B: Biological Sciences,18
Proceedings of the National Academy of Sciences,18
Canadian Journal of Zoology,18
Animal Behaviour,17
Nature,16
Science,12
Biological Conservation,12
Mammalian Species,10
Journal of Vertebrate Paleontology,10
American Journal of Primatology,10
Behavioral Ecology,9
Mammal Review,8
Marine Mammal Science,7
European Journal of Wildlife Research,7
American Journal of Physical Anthropology,7
Wildlife Research,6
The Journal of Wildlife Management,6
Mammalia,6
Journal of Experimental Biology,6
Behavioral Ecology and Sociobiology,6
Philosophical Transactions of the Royal Society B: Biological Sciences,6
