Day,2019,2018,2017,Phase
-4,1446,179,,Pre
-3,2772,596,,Pre
-2,2525,486,1,Pre
-1,3465,1651,32,Pre
0,12580,7441,1344,Pre and Bracket Drop
1,2785,5248,1573,Pre
2,4691,832,1618,Pre
3,22548,1693,1651,Pre
4,52535,7043,1895,Pre
5,30841,7291,465,Pre
6,22159,7209,1062,Pre
7,13523,6557,2256,Pre
8,2736,4479,1029,Pre
9,5850,1199,566,Pre
10,15540,3194,402,Tournament
11,6556,5784,248,Tournament
12,5748,3444,66,Tournament
13,4013,2846,168,Tournament
14,2933,3778,274,Tournament
15,1042,1626,358,Tournament
16,1379,444,310,Tournament
17,5146,721,515,Tournament
18,3685,1529,360,Tournament
19,3429,1502,99,Tournament
20,2696,1191,74,Tournament
21,1942,1432,162,Tournament
22,509,968,129,Tournament
23,985,209,101,Tournament
24,2648,329,98,Tournament
25,2754,1046,63,Tournament
26,2921,951,20,Tournament
27,1887,652,54,Tournament
28,1337,574,77,Tournament
29,396,311,81,Tournament
30,744,118,810,Tournament
31,2507,157,431,Tournament
32,2125,580,169,Tournament
33,1899,566,57,Tournament
34,3302,554,53,Tournament
35,773,498,119,Post
36,242,180,70,Post
