Day,2019,2018,2017,Phase
-14,1446,179,,Pre
-13,2772,596,,Pre
-12,2525,486,1,Pre
-11,3465,1651,32,Pre
-10,12580,7441,1344,Pre and Bracket Drop
-9,2785,5248,1573,Pre
-8,4691,832,1618,Pre
-7,22548,1693,1651,Pre
-6,52535,7043,1895,Pre
-5,30841,7291,465,Pre
-4,22159,7209,1062,Pre
-3,13523,6557,2256,Pre
-2,2736,4479,1029,Pre
-1,5850,1199,566,Pre
0,15540,3194,402,Tournament
1,6556,5784,248,Tournament
2,5748,3444,66,Tournament
3,4013,2846,168,Tournament
4,2933,3778,274,Tournament
5,1042,1626,358,Tournament
6,1379,444,310,Tournament
7,5146,721,515,Tournament
8,3685,1529,360,Tournament
9,3429,1502,99,Tournament
10,2696,1191,74,Tournament
11,1942,1432,162,Tournament
12,509,968,129,Tournament
13,985,209,101,Tournament
14,2648,329,98,Tournament
15,2754,1046,63,Tournament
16,2921,951,20,Tournament
17,1887,652,54,Tournament
18,1337,574,77,Tournament
19,396,311,81,Tournament
20,744,118,810,Tournament
21,2507,157,431,Tournament
22,2125,580,169,Tournament
23,1899,566,57,Tournament
24,3302,554,53,Tournament
25,773,498,119,Post
26,242,180,70,Post
